"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1913968444816691579","Mon Apr 21 01:38:02 +0000 2025","0","JADI. Aku mau review (spoiler berat Jumbo boleh skip kalau gak suka) Jujur animasinya halus banget aku suka. Apalagi ini animasi lokalan dan banyak campur tangan karya orang disini made with love lah. Aku juga bangga Indonesia punya animasi sendiri yang bisa tembus bioskop","1914131481494163483","","Han_fess","in","21. Fem w/ Masc Pronouns.","0","1","0","https://x.com/Han_fess/status/1914131481494163483","1295773430667591680","Han_fess"
"1914128850939949207","Mon Apr 21 01:27:35 +0000 2025","0","semoga dharitri dibikin film animasi mulai pede sih gara2 jumbo ini buka peluang novel2 fiksi bagus dibikin film karena kalo live action nya gak mungkin yah jadi berharap dibikin film animasinya ","1914128850939949207","","","in","fanmom 25+","0","1","0","https://x.com/KKTAR0/status/1914128850939949207","1474516642503688195","KKTAR0"
"1914127267045032330","Mon Apr 21 01:21:17 +0000 2025","0","Untuk animasi jumbo butuh waktu develop smpe 5 tahun aku ga bakal buru-buru buat bikin komik sebelum itu bener bener siap buat dirilis ","1914127267045032330","","","in","","0","0","0","https://x.com/naokitoshiro/status/1914127267045032330","321729555","naokitoshiro"
"1914124489719464119","Mon Apr 21 01:10:19 +0000 2025","0","Awalnya aku gatau sama sekali jumbo ini cerita tentang apa cuma tau ini animasi buatan kak ryan yg udh dikerjain selama 5 tahun oleh lebih dari 400 seniman. Terus baca2 review di x (mostly dari akun2 yg emang sering review film) katanya seru juga ditonton sama orang dewasa https://t.co/LVlNa2NoRw","1914124507318829394","https://pbs.twimg.com/media/GpBWFfnbsAAPbcG.jpg","alnalden","in","indonesia","0","1","0","https://x.com/alnalden/status/1914124507318829394","180660403","alnalden"
"1914120952662859876","Mon Apr 21 00:56:12 +0000 2025","0","Ngelihat jumbo sebesar ini sepertinya gak mustahil klo suatu hari ni cerita bakal dibuat animasi.","1914120952662859876","","","in","Alam Gaib","0","0","0","https://x.com/bogisita/status/1914120952662859876","901309132258459649","bogisita"
"1913832427505717612","Mon Apr 21 00:54:48 +0000 2025","0","@AdieAzzam @PetrolWeeb Ya bener banget kak! Di industri animasi Indonesia kalo ga dihalang-halangi atau diminta cashback sama pemerintah atau ormas itu udah kayak dapet bantuan. Contohnya Jumbo sukses besar tanpa campur tangan pemerintah meski industri ini sering hadapi masalah kayak biaya","1914120602660802860","","AdieAzzam","in","wherever you are","0","0","0","https://x.com/grok/status/1914120602660802860","1720665183188922368","grok"
"1913955206976733327","Mon Apr 21 00:42:58 +0000 2025","1","@MartinusButarb1 wapres said : Byk anak muda udh tampil. Cth: film Jumbo era baru animasi Indo; Timnas U-17 lolos Pildun &gt; Bangun Indo yg lebih terang t.jawab brsama: pemerintah swasta akademisi praktisi tkh agama masy.sipil tapi 10tahun bikin kacau pondasi. rakyat mikir sendiri caranya","1914117622310076426","","MartinusButarb1","in","Sibolga wannabe, Indonesia","0","1","0","https://x.com/catlover17081/status/1914117622310076426","1628864815904227329","catlover17081"
"1914107757051167139","Mon Apr 21 00:03:46 +0000 2025","0","aku pengen nonton jumbo tapi kek ak gak suka animasi gt huhu tapi ak penasaran ada rekomended gak? https://t.co/ORErzlRy8c","1914107757051167139","https://pbs.twimg.com/ext_tw_video_thumb/1914107719206019072/pu/img/zjo2sb01Kd-b4C-D.jpg","","in","Seoul, Republic of Korea","0","3","0","https://x.com/tthanqyu/status/1914107757051167139","1814084576249360384","tthanqyu"
"1913832427505717612","Mon Apr 21 00:01:33 +0000 2025","0","@madTarada @kerjadarirumahq @PetrolWeeb Saya tidak bisa membuat gambar tapi saya bisa deskripsikan Jumbo! Dia adalah Don anak laki-laki berusia 10 tahun yang gendut berambut hitam dan selalu tersenyum dalam materi promosi film Jumbo (2025). Film ini sukses besar menjadi animasi terlaris di Asia Tenggara dengan","1914107200592920742","","madTarada","in","wherever you are","0","0","0","https://x.com/grok/status/1914107200592920742","1720665183188922368","grok"
"1913832427505717612","Sun Apr 20 23:59:42 +0000 2025","0","@kerjadarirumahq @PetrolWeeb @grok @grok coba kamu buat gambar animasi anak kecil gendut yang mirip karakter Jumbo","1914106734073008379","","kerjadarirumahq","in","alam bayangan","0","1","0","https://x.com/madTarada/status/1914106734073008379","175385312","madTarada"
